Elevacao_deg,Azimute_otimo_deg,Desvio_z_resultante_m,Alcance_x_m,Altura_max_m,Tempo_voo_s,Diferenca_x_m
1.1,-0.1,-0.0738114490315855,2550.466117069661,20.62724799948067,3.547795175159389,148.16813768394013
1.0,-0.1,-0.1700548268932727,2402.236136816471,18.76959764357278,3.317883014298504,148.22998025318975
0.9,-0.1,-0.2562332971041345,2254.071347255844,17.06446282321663,3.091321900264798,148.164789560627
0.8,-0.1,-0.3238582914409317,2107.206033713831,15.58126263608797,2.869884084236422,146.86531354201315
0.7,-0.1,-0.3780994265652067,1961.497172184557,14.20944774940251,2.653210970761234,145.70886152927392
0.6,-0.1,-0.4217170303872965,1819.003470603386,13.08538175624671,2.444166756263994,142.49370158117108
0.5,-0.1,-0.4439957693074538,1679.22012873185,12.09729721599555,2.241780762170292,139.78334187153587
0.4,-0.1,-0.4686110972631434,1544.97681791338,11.3145713531632,2.04986539463459,134.24331081847004
0.3,-0.1,-0.4631823977122461,1415.383996051679,10.72767563529822,1.866833572183701,129.59282186170094
0.2,-0.1,-0.4720001324078428,1293.965993965814,10.30574012160585,1.697302446595128,121.41800208586506
0.1,-0.1,-0.4514474553277628,1178.536033355913,10.12732684235401,1.537857951093032,115.42996060990095
0.0,-0.1,-0.4370964146455747,1074.097212108165,10.01150200305295,1.395020385446382,104.43882124774814
-0.1,-0.05,0.4200630537848637,976.0537718246649,10.0,1.262145651546604,98.0434402835001
-0.2,-0.1,-0.3804166497723249,888.84094055679,10.0,1.144924658062767,87.21283126787489
-0.3,-0.05,0.3295004338208976,811.5550179263576,10.0,1.041804825434136,77.28592263043242
-0.4,-0.05,0.2740586366068081,740.103232176065,10.0,0.9470981596954599,71.45178575029252
-0.6,-0.05,0.2613316290354692,624.0304114699072,10.0,0.7945191231558092,116.07282070615781
-0.8,-0.05,0.1702222740937616,533.0777947219906,10.0,0.67604903614557,90.95261674791664
-1.1,-0.05,0.1731284062484593,430.1299032401924,10.0,0.5430967529111456,102.9478914817982
-1.5,-0.05,0.1298834349592644,340.905185165166,10.0,0.4288408799661523,89.22471807502637
-2.1,-0.05,0.05759977431869386,254.5175296552962,10.0,0.3190838187897792,86.38765550986983
-3.2,-0.1,-0.03586506947619218,172.8073447745236,10.0,0.2160780629686084,81.71018488077257
-6.2,-0.1,-0.03117244163981478,91.71618982876933,10.0,0.1147688254200615,81.09115494575428
-15.0,-0.05,-0.01479837247583625,37.36638195158394,10.0,0.04800809834012187,54.34980787718539
